Temperature,T Max,RH,Sampling date,Td dew point,THI,firm
29.5,33.20000076293945,80.0,2019/6/6,25.688832060174434,27.798796434160582,2
29.799999237060547,34.29999923706055,81.0,2019/6/7,26.191200078759664,28.153062570288732,2
29.299999237060547,33.0,82.0,2019/6/8,25.90976648825111,27.788515528390445,2
29.600000381469727,33.599998474121094,80.0,2019/6/9,25.78635638269637,27.887967874859303,2
27.700000762939453,32.099998474121094,88.0,2019/6/10,25.529360749540473,26.796602653403713,2
26.600000381469727,29.899999618530273,96.0,2019/6/11,25.90809905795558,26.32281501350978,2
24.799999237060547,26.200000762939453,100.0,2019/6/12,24.799999999999983,24.799999999999994,2
27.600000381469727,32.20000076293945,93.0,2019/6/13,26.36429153653998,27.076880557455514,2
26.200000762939453,29.100000381469727,90.0,2019/6/14,24.426109427602483,25.52872715607493,2
27.200000762939453,31.0,71.0,2019/6/15,21.48042016773107,25.094910235802477,2
27.700000762939453,32.20000076293945,79.0,2019/6/16,23.724179610190873,26.118734174196806,2
28.600000381469727,32.20000076293945,85.0,2019/6/17,25.830061061540448,27.397433731362096,2
30.299999237060547,35.400001525878906,81.0,2019/6/18,26.679501764651093,28.60168514864516,2
30.399999618530273,34.5,79.0,2019/6/19,26.353623533748618,28.511407279832095,2
29.799999237060547,33.5,85.0,2019/6/20,27.00834235924961,28.499983061792072,2
30.200000762939453,33.900001525878906,80.0,2019/6/21,26.37150231782806,28.42304060896356,2
30.5,35.29999923706055,76.0,2019/6/22,25.79734525868392,28.32836161708631,2
27.899999618530273,31.399999618530273,89.0,2019/6/23,25.917232334408254,27.059967963223457,2
26.200000762939453,27.899999618530273,94.0,2019/6/24,25.155411449017322,25.797259795907536,2
28.299999237060547,33.5,80.0,2019/6/25,24.51854018991108,26.72890119488354,2
27.600000381469727,32.20000076293945,86.0,2019/6/26,25.04434091028213,26.553588480301485,2
28.700000762939453,32.70000076293945,86.0,2019/6/27,26.12585141526006,27.570051330607093,2
30.5,34.70000076293945,83.0,2019/6/28,27.289574992507198,28.96221195310126,2
30.399999618530273,34.099998474121094,84.0,2019/6/29,27.39562188359406,28.961374411766066,2
29.700000762939453,34.29999923706055,87.0,2019/6/30,27.30591991494086,28.580433575287486,2
30.399999618530273,34.099998474121094,81.0,2019/7/1,26.77716210182936,28.69141573615001,2
30.100000381469727,34.099998474121094,80.0,2019/7/2,26.273977995306097,28.333856554102738,2
26.799999237060547,28.899999618530273,92.0,2019/7/3,25.38862984526901,26.23689212430104,2
28.899999618530273,34.400001525878906,82.0,2019/7/4,25.518586926671475,27.42752067437591,2
28.700000762939453,32.70000076293945,83.0,2019/7/5,25.526870715075432,27.327795508712505,2
28.5,32.0,85.0,2019/7/6,25.731870953397987,27.305565134567534,2
30.299999237060547,34.29999923706055,79.0,2019/7/7,26.256236721764992,28.422761480576586,2
30.5,34.70000076293945,76.0,2019/7/8,25.79734525868392,28.32836161708631,2
29.5,33.400001525878906,82.0,2019/7/9,26.105356269040897,27.969024379100826,2
29.0,33.599998474121094,85.0,2019/7/10,26.22282149411015,27.764924222289753,2
28.899999618530273,33.400001525878906,84.0,2019/7/11,25.92472571867691,27.59121112951571,2
30.0,33.70000076293945,81.0,2019/7/12,26.386520753116258,28.332505542659668,2
30.5,34.900001525878906,77.0,2019/7/13,26.017703779715106,28.4189332880989,2
30.100000381469727,33.599998474121094,80.0,2019/7/14,26.273977995306097,28.333856554102738,2
30.5,33.5,81.0,2019/7/15,26.87482243900763,28.781148355065948,2
30.5,33.20000076293945,82.0,2019/7/16,27.083305172989924,28.871683869891157,2
31.399999618530273,37.29999923706055,78.0,2019/7/17,27.1108022292903,29.302550480140734,2
29.899999618530273,33.20000076293945,83.0,2019/7/18,26.702006900029943,28.417340719244276,2
29.700000762939453,33.79999923706055,84.0,2019/7/19,26.709203673299385,28.321916392316567,2
28.899999618530273,32.400001525878906,81.0,2019/7/20,25.31225704415519,27.345668414012163,2
29.700000762939453,34.0,77.0,2019/7/21,25.24084650670403,27.718498552105082,2
29.200000762939453,33.79999923706055,80.0,2019/7/22,25.396259092608574,27.53129464041188,2
29.200000762939453,32.70000076293945,83.0,2019/7/23,26.016510792139798,27.781740941209936,2
29.399999618530273,33.29999923706055,83.0,2019/7/24,26.212366822965578,27.963331774738077,2
30.0,33.70000076293945,82.0,2019/7/25,26.59433072101541,28.42033002654005,2
30.399999618530273,34.0,80.0,2019/7/26,26.566550962871958,28.601415064733043,2
28.899999618530273,34.0,86.0,2019/7/27,26.322489688892375,27.754882348434936,2
29.100000381469727,33.29999923706055,84.0,2019/7/28,26.120845207332536,27.773877127785845,2
30.0,33.900001525878906,81.0,2019/7/29,26.386520753116258,28.332505542659668,2
30.399999618530273,34.400001525878906,85.0,2019/7/30,27.597483008104234,29.051345982477628,2
30.399999618530273,34.20000076293945,82.0,2019/7/31,26.985510282595015,28.781409227190053,2
29.5,33.099998474121094,84.0,2019/8/1,26.513084184643787,28.1392297365905,2
29.200000762939453,33.5,83.0,2019/8/2,26.016510792139798,27.781740941209936,2
